
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:554            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1025           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1026           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1027           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1028           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1030           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2869           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:7516           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:10243          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:61001          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:1103         127.0.0.1:1104         ESTABLISHED
  TCP    127.0.0.1:1104         127.0.0.1:1103         ESTABLISHED
  TCP    127.0.0.1:6942         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:10000        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:51431        127.0.0.1:51432        ESTABLISHED
  TCP    127.0.0.1:51432        127.0.0.1:51431        ESTABLISHED
  TCP    127.0.0.1:51437        127.0.0.1:51438        ESTABLISHED
  TCP    127.0.0.1:51438        127.0.0.1:51437        ESTABLISHED
  TCP    127.0.0.1:63342        0.0.0.0:0              LISTENING
  TCP    192.168.1.33:139       0.0.0.0:0              LISTENING
  TCP    192.168.1.33:1048      92.123.155.35:80       CLOSE_WAIT
  TCP    192.168.1.33:1049      157.55.236.65:443      ESTABLISHED
  TCP    192.168.1.33:1080      65.78.140.109:6922     ESTABLISHED
  TCP    192.168.1.33:1182      213.231.9.134:16212    ESTABLISHED
  TCP    192.168.1.33:1932      195.88.113.186:58259   ESTABLISHED
  TCP    192.168.1.33:2950      118.174.111.134:60932  ESTABLISHED
  TCP    192.168.1.33:6636      173.194.71.100:80      ESTABLISHED
  TCP    192.168.1.33:8089      64.12.73.164:443       ESTABLISHED
  TCP    192.168.1.33:8244      173.194.71.193:443     CLOSE_WAIT
  TCP    192.168.1.33:8259      60.241.11.130:6881     ESTABLISHED
  TCP    192.168.1.33:8833      69.196.168.46:45675    ESTABLISHED
  TCP    192.168.1.33:8885      173.194.71.113:80      ESTABLISHED
  TCP    192.168.1.33:8887      173.194.71.138:80      ESTABLISHED
  TCP    192.168.1.33:8888      173.194.71.138:80      ESTABLISHED
  TCP    192.168.1.33:8889      74.125.143.139:80      ESTABLISHED
  TCP    192.168.1.33:8890      74.125.143.139:80      ESTABLISHED
  TCP    192.168.1.33:8891      74.125.143.139:80      ESTABLISHED
  TCP    192.168.1.33:8892      74.125.143.139:80      ESTABLISHED
  TCP    192.168.1.33:8893      74.125.143.139:80      ESTABLISHED
  TCP    192.168.1.33:8894      74.125.143.138:80      ESTABLISHED
  TCP    192.168.1.33:8895      74.125.143.138:80      ESTABLISHED
  TCP    192.168.1.33:8896      74.125.143.138:80      ESTABLISHED
  TCP    192.168.1.33:8897      74.125.143.138:80      ESTABLISHED
  TCP    192.168.1.33:8924      187.114.65.7:63463     ESTABLISHED
  TCP    192.168.1.33:8940      173.194.71.105:443     ESTABLISHED
  TCP    192.168.1.33:8974      173.194.32.165:80      ESTABLISHED
  TCP    192.168.1.33:8977      208.117.226.223:80     ESTABLISHED
  TCP    192.168.1.33:8978      208.117.226.223:80     ESTABLISHED
  TCP    192.168.1.33:8984      173.194.71.138:80      ESTABLISHED
  TCP    192.168.1.33:8986      74.125.232.68:80       ESTABLISHED
  TCP    192.168.1.33:8987      74.125.232.68:443      ESTABLISHED
  TCP    192.168.1.33:8989      173.194.32.165:80      ESTABLISHED
  TCP    192.168.1.33:8992      74.125.226.47:80       ESTABLISHED
  TCP    192.168.1.33:8993      173.194.71.101:80      ESTABLISHED
  TCP    192.168.1.33:9100      24.43.187.44:6969      SYN_SENT
  TCP    192.168.1.33:9105      2.94.82.165:32416      ESTABLISHED
  TCP    192.168.1.33:9110      2.93.17.124:61001      SYN_SENT
  TCP    192.168.1.33:9111      10.141.92.140:61001    SYN_SENT
  TCP    192.168.1.33:9116      66.188.34.116:6969     SYN_SENT
  TCP    192.168.1.33:9120      109.235.55.11:6969     SYN_SENT
  TCP    192.168.1.33:9123      10.141.68.93:16971     TIME_WAIT
  TCP    192.168.1.33:9126      10.141.92.140:61001    SYN_SENT
  TCP    192.168.1.33:9127      78.106.146.72:38103    SYN_SENT
  TCP    192.168.1.33:9128      24.184.7.218:18749     SYN_SENT
  TCP    192.168.1.33:9129      66.49.255.66:54405     SYN_SENT
  TCP    192.168.1.33:9130      2.93.17.124:61001      SYN_SENT
  TCP    192.168.1.33:14861     31.25.21.196:52438     ESTABLISHED
  TCP    192.168.1.33:26424     218.55.58.98:25596     ESTABLISHED
  TCP    192.168.1.33:38424     218.55.58.98:58622     ESTABLISHED
  TCP    192.168.1.33:47097     23.66.243.235:80       CLOSE_WAIT
  TCP    192.168.1.33:51451     64.12.29.154:443       ESTABLISHED
  TCP    192.168.1.33:51456     205.188.10.221:443     ESTABLISHED
  TCP    192.168.1.33:62776     66.31.219.73:39877     ESTABLISHED
